,id,name,date,price
0,bitcoin,Bitcoin,2022-10-29,20591.2
1,bitcoin,Bitcoin,2022-10-30,20800.7
2,bitcoin,Bitcoin,2022-10-31,20623.9
3,bitcoin,Bitcoin,2022-11-01,20494.6
4,bitcoin,Bitcoin,2022-11-02,20489.6
5,bitcoin,Bitcoin,2022-11-03,20163.0
6,bitcoin,Bitcoin,2022-11-04,20210.9
7,bitcoin,Bitcoin,2022-11-05,21150.3
8,bitcoin,Bitcoin,2022-11-06,21283.0
9,bitcoin,Bitcoin,2022-11-07,20907.0
10,bitcoin,Bitcoin,2022-11-08,20597.8
11,bitcoin,Bitcoin,2022-11-09,18562.4
12,bitcoin,Bitcoin,2022-11-10,15742.4
13,bitcoin,Bitcoin,2022-11-11,17594.9
14,bitcoin,Bitcoin,2022-11-12,17080.2
15,bitcoin,Bitcoin,2022-11-13,16798.0
16,bitcoin,Bitcoin,2022-11-14,16344.3
17,bitcoin,Bitcoin,2022-11-15,16645.8
18,bitcoin,Bitcoin,2022-11-16,16890.5
19,bitcoin,Bitcoin,2022-11-17,16689.4
20,bitcoin,Bitcoin,2022-11-18,16718.4
21,bitcoin,Bitcoin,2022-11-19,16707.0
22,bitcoin,Bitcoin,2022-11-20,16712.7
23,bitcoin,Bitcoin,2022-11-21,16304.1
24,bitcoin,Bitcoin,2022-11-22,15814.3
25,bitcoin,Bitcoin,2022-11-23,16171.6
26,bitcoin,Bitcoin,2022-11-24,16608.0
27,bitcoin,Bitcoin,2022-11-25,16596.0
28,bitcoin,Bitcoin,2022-11-26,16524.4
29,bitcoin,Bitcoin,2022-11-27,16456.2
30,bitcoin,Bitcoin,2022-11-28,16459.2
31,bitcoin,Bitcoin,2022-11-29,16222.2
32,bitcoin,Bitcoin,2022-11-30,16442.0
33,bitcoin,Bitcoin,2022-12-01,17186.5
34,bitcoin,Bitcoin,2022-12-02,16972.7
35,bitcoin,Bitcoin,2022-12-03,17084.9
36,bitcoin,Bitcoin,2022-12-04,16923.4
37,bitcoin,Bitcoin,2022-12-05,17149.9
38,bitcoin,Bitcoin,2022-12-06,16973.4
39,bitcoin,Bitcoin,2022-12-07,17085.6
40,bitcoin,Bitcoin,2022-12-08,16851.3
41,bitcoin,Bitcoin,2022-12-09,17235.0
42,bitcoin,Bitcoin,2022-12-10,17149.8
43,bitcoin,Bitcoin,2022-12-11,17125.4
44,bitcoin,Bitcoin,2022-12-12,17101.0
45,bitcoin,Bitcoin,2022-12-13,17179.6
46,bitcoin,Bitcoin,2022-12-14,17784.2
47,bitcoin,Bitcoin,2022-12-15,17808.7
48,bitcoin,Bitcoin,2022-12-16,17338.4
49,bitcoin,Bitcoin,2022-12-17,16623.8
50,bitcoin,Bitcoin,2022-12-18,16806.5
51,bitcoin,Bitcoin,2022-12-19,16742.8
52,bitcoin,Bitcoin,2022-12-20,16422.6
53,bitcoin,Bitcoin,2022-12-21,16899.3
54,bitcoin,Bitcoin,2022-12-22,16816.9
55,bitcoin,Bitcoin,2022-12-23,16824.8
56,bitcoin,Bitcoin,2022-12-24,16791.5
57,bitcoin,Bitcoin,2022-12-25,16848.6
58,bitcoin,Bitcoin,2022-12-26,16842.2
59,bitcoin,Bitcoin,2022-12-27,16900.1
60,bitcoin,Bitcoin,2022-12-28,16701.8
61,bitcoin,Bitcoin,2022-12-29,16538.9
62,bitcoin,Bitcoin,2022-12-30,16644.4
63,bitcoin,Bitcoin,2022-12-31,16604.0
64,bitcoin,Bitcoin,2023-01-01,16540.7
65,bitcoin,Bitcoin,2023-01-02,16616.0
66,bitcoin,Bitcoin,2023-01-03,16674.3
67,bitcoin,Bitcoin,2023-01-04,16677.6
68,bitcoin,Bitcoin,2023-01-05,16855.2
69,bitcoin,Bitcoin,2023-01-06,16832.1
70,bitcoin,Bitcoin,2023-01-07,16960.2
71,bitcoin,Bitcoin,2023-01-08,16950.9
72,bitcoin,Bitcoin,2023-01-09,17074.6
73,bitcoin,Bitcoin,2023-01-10,17194.9
74,bitcoin,Bitcoin,2023-01-11,17436.9
75,bitcoin,Bitcoin,2023-01-12,17996.8
76,bitcoin,Bitcoin,2023-01-13,18866.8
77,bitcoin,Bitcoin,2023-01-14,19941.8
78,bitcoin,Bitcoin,2023-01-15,21019.2
79,bitcoin,Bitcoin,2023-01-16,20853.2
80,bitcoin,Bitcoin,2023-01-17,21175.3
